NAME;COUNTRY_ISO_CODE;NACE2_CORE_CODE;CONSOLIDATION_CODE;YEAR_LAST_ACCOUNTS;BVD_ID_NUMBER;ORBISID;BVD_SECTOR_CORE_LABEL;NACE2_CORE_LABEL;INDUSTRY_PRIMARY_LABEL;WORLD_REGION;TOAS_2022;TOAS_2021;TOAS_2020;TOAS_2019;TOAS_2018;TOAS_2017;OPRE_2022;OPRE_2021;OPRE_2020;OPRE_2019;OPRE_2018;OPRE_2017;COST_2022;COST_2021;COST_2020;COST_2019;COST_2018;COST_2017;EMPL_2022;EMPL_2021;EMPL_2020;EMPL_2019;EMPL_2018;EMPL_2017
WALMART INC.;US;4711;C1;2022;US710415188;049986723;Retail;Retail sale in non-specialised stores with food, beverages or tobacco predominating;Grocery stores;North America;243.197.000;244.860.000;252.496.000;236.495.000;219.295.000;204.522.000;611.289.000;572.754.000;559.151.000;523.964.000;514.405.000;500.343.000;452.776.000;418.300.000;409.115.000;383.605.000;374.601.000;362.867.000;2.100.000;2.300.000;2.300.000;2.200.000;2.200.000;2.300.000
AMAZON.COM, INC.;US;4791;C1;2022;US911646860;001812590;Retail;Retail sale via mail order houses or via Internet;Catalog and mail-order houses;North America;462.675.000;420.549.000;321.195.000;225.248.000;162.648.000;131.310.000;513.983.000;469.822.000;386.064.000;280.522.000;232.887.000;177.866.000;263.327.000;248.932.000;216.598.000;149.821.000;127.018.000;109.622.000;1.541.000;1.608.000;1.298.000;798.000;647.500;566.000
EXXON MOBIL CORP;US;1920;C1;2022;US135409005;000002269;Chemicals, Petroleum, Rubber & Plastic;Manufacture of refined petroleum products;Petroleum refining;North America;369.067.000;338.923.000;332.750.000;362.597.000;346.196.000;348.691.000;398.675.000;276.692.000;178.574.000;255.583.000;279.332.000;237.162.000;271.568.000;191.199.000;124.438.000;180.627.000;192.854.000;162.345.000;62.000;63.000;72.000;74.900;71.000;69.600
APPLE INC.;US;2630;C1;2022;US942404110;000411117;Communications;Manufacture of communication equipment;Radio and television broadcasting and communications equipment;North America;352.755.000;351.002.000;323.888.000;338.516.000;365.725.000;375.319.000;394.328.000;365.817.000;274.515.000;260.174.000;265.595.000;229.234.000;212.442.000;201.697.000;158.503.000;149.235.000;152.853.000;131.648.000;164.000;154.000;147.000;137.000;132.000;123.000
CVS HEALTH CORPORATION;US;4773;C1;2022;US050494040;000003247;Retail;Dispensing chemist in specialised stores;Drug stores and proprietary stores;North America;228.275.000;232.999.000;230.715.000;222.449.000;196.456.000;95.131.000;322.467.000;292.111.000;268.706.000;256.776.000;194.579.000;184.786.000;192.645.000;171.203.000;159.540.000;154.348.000;153.729.000;150.931.000;300.000;300.000;300.000;290.000;295.000;332.000
ALPHABET INC.;US;6209;C1;2022;US611767919;319522152;Media & Broadcasting;Other information technology and computer service activities;Information retrieval services;North America;365.264.000;359.268.000;319.616.000;275.909.000;232.792.000;197.295.000;282.836.000;257.637.000;182.527.000;161.857.000;136.819.000;110.855.000;110.274.000;98.509.000;71.053.000;60.245.000;50.520.000;38.684.000;190.234;156.500;135.301;118.899;98.771;80.110
CHEVRON CORPORATION;US;1920;C1;2022;US940890210;000003619;Chemicals, Petroleum, Rubber & Plastic;Manufacture of refined petroleum products;Petroleum refining;North America;257.709.000;239.535.000;239.790.000;237.428.000;253.863.000;253.806.000;235.717.000;155.606.000;94.471.000;140.156.000;158.767.000;134.779.000;145.416.000;89.372.000;50.488.000;80.096.000;94.545.000;75.756.000;43.846;42.595;47.736;48.200;48.600;51.900
COSTCO WHOLESALE CORP;US;4719;C1;2022;US911223280;000637903;Retail;Other retail sale in non-specialised stores;Miscellaneous general merchandise stores;North America;64.166.000;59.268.000;55.556.000;45.400.000;40.830.000;36.347.000;226.954.000;195.929.000;166.761.000;152.703.000;141.576.000;129.025.000;197.482.000;168.903.000;143.217.000;131.394.000;121.715.000;110.512.000;304.000;288.000;273.000;254.000;245.000;231.000
MICROSOFT CORPORATION;US;5829;C1;2022;US911144442;000507951;Industrial, Electric & Electronic Machinery;Other software publishing;Prepackaged software;North America;364.840.000;333.779.000;301.311.000;286.556.000;258.848.000;250.312.000;198.270.000;168.088.000;143.015.000;125.843.000;110.360.000;96.571.000;48.050.000;40.546.000;33.282.000;30.940.000;28.092.000;25.483.000;221.000;181.000;163.000;144.000;131.000;124.000
CARDINAL HEALTH INC;US;4645;C1;2022;US310958666;000587542;Wholesale;Wholesale of perfume and cosmetics;Drugs, drug proprietaries, and druggists' sundries wholesale dealing in;North America;43.878.000;44.453.000;40.766.000;40.963.000;39.951.000;40.112.000;181.364.000;162.467.000;152.922.000;145.534.000;136.809.000;129.976.000;174.407.000;155.312.000;145.649.000;138.231.000;129.170.000;123.107.000;46.500;47.300;48.000;49.500;50.200;40.400
